game_id,position,home_team,home_team_pim,away_team,away_team_pim,outcome,avg_pim_by_position/game
2017020812,C,Buffalo Sabres,0,Anaheim Ducks,2,away win OT,4.479150275373722
2017020812,D,Buffalo Sabres,4,Anaheim Ducks,2,away win OT,6.016522423288749
2017020812,W,Buffalo Sabres,4,Anaheim Ducks,2,away win OT,6.182533438237608
2017020586,C,Anaheim Ducks,7,Calgary Flames,8,home win REG,4.479150275373722
2017020586,D,Anaheim Ducks,6,Calgary Flames,0,home win REG,6.016522423288749
2017020586,W,Anaheim Ducks,0,Calgary Flames,11,home win REG,6.182533438237608
2017020240,C,Anaheim Ducks,0,Vancouver Canucks,2,home win REG,4.479150275373722
2017020240,D,Anaheim Ducks,15,Vancouver Canucks,6,home win REG,6.016522423288749
2017020240,W,Anaheim Ducks,0,Vancouver Canucks,19,home win REG,6.182533438237608
2017020624,C,Colorado Avalanche,2,Columbus Blue Jackets,4,home win REG,4.479150275373722
2017020624,D,Colorado Avalanche,2,Columbus Blue Jackets,2,home win REG,6.016522423288749
2017020624,W,Colorado Avalanche,2,Columbus Blue Jackets,2,home win REG,6.182533438237608
2017020221,C,Dallas Stars,0,Winnipeg Jets,2,away win REG,4.479150275373722
2017020221,D,Dallas Stars,4,Winnipeg Jets,4,away win REG,6.016522423288749
2017020221,W,Dallas Stars,2,Winnipeg Jets,2,away win REG,6.182533438237608
2017020731,C,Arizona Coyotes,0,New York Islanders,2,home win OT,4.479150275373722
2017020731,D,Arizona Coyotes,0,New York Islanders,2,home win OT,6.016522423288749
2017020731,W,Arizona Coyotes,4,New York Islanders,0,home win OT,6.182533438237608
2017020986,C,Dallas Stars,0,Tampa Bay Lightning,6,away win OT,4.479150275373722
2017020986,D,Dallas Stars,4,Tampa Bay Lightning,0,away win OT,6.016522423288749
2017020986,W,Dallas Stars,0,Tampa Bay Lightning,0,away win OT,6.182533438237608
2017021124,C,Carolina Hurricanes,0,Edmonton Oilers,0,away win REG,4.479150275373722
2017021124,D,Carolina Hurricanes,2,Edmonton Oilers,0,away win REG,6.016522423288749
2017021124,W,Carolina Hurricanes,0,Edmonton Oilers,4,away win REG,6.182533438237608
2017020146,C,Minnesota Wild,2,New York Islanders,0,home win REG,4.479150275373722
2017020146,D,Minnesota Wild,4,New York Islanders,6,home win REG,6.016522423288749
2017020146,W,Minnesota Wild,4,New York Islanders,0,home win REG,6.182533438237608
2017020001,C,Winnipeg Jets,0,Toronto Maple Leafs,4,away win REG,4.479150275373722
2017020001,D,Winnipeg Jets,8,Toronto Maple Leafs,8,away win REG,6.016522423288749
2017020001,W,Winnipeg Jets,0,Toronto Maple Leafs,2,away win REG,6.182533438237608
2017020482,C,Montreal Canadiens,2,New Jersey Devils,4,home win OT,4.479150275373722
2017020482,D,Montreal Canadiens,4,New Jersey Devils,2,home win OT,6.016522423288749
2017020482,W,Montreal Canadiens,0,New Jersey Devils,0,home win OT,6.182533438237608
2017020706,C,Washington Capitals,2,Montreal Canadiens,2,away win REG,4.479150275373722
2017020706,D,Washington Capitals,0,Montreal Canadiens,2,away win REG,6.016522423288749
2017020706,W,Washington Capitals,13,Montreal Canadiens,7,away win REG,6.182533438237608
2017021076,C,Calgary Flames,4,Edmonton Oilers,2,home win REG,4.479150275373722
2017021076,D,Calgary Flames,7,Edmonton Oilers,5,home win REG,6.016522423288749
2017021076,W,Calgary Flames,0,Edmonton Oilers,2,home win REG,6.182533438237608
2017021046,C,Dallas Stars,2,Anaheim Ducks,0,home win REG,4.479150275373722
2017021046,D,Dallas Stars,2,Anaheim Ducks,2,home win REG,6.016522423288749
2017021046,W,Dallas Stars,2,Anaheim Ducks,2,home win REG,6.182533438237608
2017020214,C,New York Islanders,0,Colorado Avalanche,4,home win REG,4.479150275373722
2017020214,D,New York Islanders,9,Colorado Avalanche,5,home win REG,6.016522423288749
2017020214,W,New York Islanders,4,Colorado Avalanche,0,home win REG,6.182533438237608
2017020285,C,Colorado Avalanche,0,Washington Capitals,2,home win REG,4.479150275373722
2017020285,D,Colorado Avalanche,10,Washington Capitals,8,home win REG,6.016522423288749
2017020285,W,Colorado Avalanche,8,Washington Capitals,10,home win REG,6.182533438237608
2017020423,C,Vancouver Canucks,0,Carolina Hurricanes,10,home win REG,4.479150275373722
2017020423,D,Vancouver Canucks,2,Carolina Hurricanes,2,home win REG,6.016522423288749
2017020423,W,Vancouver Canucks,2,Carolina Hurricanes,2,home win REG,6.182533438237608
2017020930,C,Toronto Maple Leafs,2,New York Islanders,4,home win SO,4.479150275373722
2017020930,D,Toronto Maple Leafs,0,New York Islanders,2,home win SO,6.016522423288749
2017020930,W,Toronto Maple Leafs,2,New York Islanders,0,home win SO,6.182533438237608
2017020301,C,Washington Capitals,4,Minnesota Wild,0,home win REG,4.479150275373722
2017020301,D,Washington Capitals,2,Minnesota Wild,6,home win REG,6.016522423288749
2017020301,W,Washington Capitals,2,Minnesota Wild,4,home win REG,6.182533438237608
2017021066,C,Columbus Blue Jackets,0,Montreal Canadiens,0,home win REG,4.479150275373722
2017021066,D,Columbus Blue Jackets,2,Montreal Canadiens,2,home win REG,6.016522423288749
2017021066,W,Columbus Blue Jackets,0,Montreal Canadiens,4,home win REG,6.182533438237608
2017021087,C,Florida Panthers,6,Boston Bruins,0,home win REG,4.479150275373722
2017021087,D,Florida Panthers,19,Boston Bruins,0,home win REG,6.016522423288749
2017021087,W,Florida Panthers,0,Boston Bruins,17,home win REG,6.182533438237608
2017020625,C,Calgary Flames,0,Los Angeles Kings,4,home win REG,4.479150275373722
2017020625,D,Calgary Flames,4,Los Angeles Kings,2,home win REG,6.016522423288749
2017020625,W,Calgary Flames,0,Los Angeles Kings,2,home win REG,6.182533438237608
2017020138,C,Boston Bruins,8,San Jose Sharks,2,home win REG,4.479150275373722
2017020138,D,Boston Bruins,2,San Jose Sharks,2,home win REG,6.016522423288749
2017020138,W,Boston Bruins,2,San Jose Sharks,0,home win REG,6.182533438237608
2017020020,C,New York Islanders,2,Buffalo Sabres,2,home win REG,4.479150275373722
2017020020,D,New York Islanders,6,Buffalo Sabres,4,home win REG,6.016522423288749
2017020020,W,New York Islanders,2,Buffalo Sabres,2,home win REG,6.182533438237608
2017021170,C,New York Rangers,2,Washington Capitals,2,away win REG,4.479150275373722
2017021170,D,New York Rangers,2,Washington Capitals,6,away win REG,6.016522423288749
2017021170,W,New York Rangers,2,Washington Capitals,0,away win REG,6.182533438237608
2017021025,C,Nashville Predators,4,Dallas Stars,4,home win REG,4.479150275373722
2017021025,D,Nashville Predators,0,Dallas Stars,6,home win REG,6.016522423288749
2017021025,W,Nashville Predators,6,Dallas Stars,2,home win REG,6.182533438237608
2017020540,C,Florida Panthers,9,Minnesota Wild,2,home win REG,4.479150275373722
2017020540,D,Florida Panthers,4,Minnesota Wild,0,home win REG,6.016522423288749
2017020540,W,Florida Panthers,2,Minnesota Wild,7,home win REG,6.182533438237608
2017020699,C,Columbus Blue Jackets,2,Dallas Stars,0,home win SO,4.479150275373722
2017020699,D,Columbus Blue Jackets,2,Dallas Stars,4,home win SO,6.016522423288749
2017020699,W,Columbus Blue Jackets,4,Dallas Stars,2,home win SO,6.182533438237608
2017020506,C,Calgary Flames,4,Nashville Predators,2,away win REG,4.479150275373722
2017020506,D,Calgary Flames,2,Nashville Predators,4,away win REG,6.016522423288749
2017020506,W,Calgary Flames,19,Nashville Predators,22,away win REG,6.182533438237608
2017021194,C,Nashville Predators,2,San Jose Sharks,6,home win REG,4.479150275373722
2017021194,D,Nashville Predators,4,San Jose Sharks,2,home win REG,6.016522423288749
2017021194,W,Nashville Predators,4,San Jose Sharks,2,home win REG,6.182533438237608
2017020342,C,Columbus Blue Jackets,4,Ottawa Senators,2,home win REG,4.479150275373722
2017020342,D,Columbus Blue Jackets,0,Ottawa Senators,0,home win REG,6.016522423288749
2017020342,W,Columbus Blue Jackets,2,Ottawa Senators,2,home win REG,6.182533438237608
2017021257,C,Philadelphia Flyers,0,New York Rangers,2,home win REG,4.479150275373722
2017021257,D,Philadelphia Flyers,2,New York Rangers,0,home win REG,6.016522423288749
2017021257,W,Philadelphia Flyers,2,New York Rangers,4,home win REG,6.182533438237608
2017021255,C,Chicago Blackhawks,0,St Louis Blues,2,away win REG,4.479150275373722
2017021255,D,Chicago Blackhawks,0,St Louis Blues,2,away win REG,6.016522423288749
2017021255,W,Chicago Blackhawks,4,St Louis Blues,0,away win REG,6.182533438237608
2017021010,C,Anaheim Ducks,5,Chicago Blackhawks,5,home win REG,4.479150275373722
2017021010,D,Anaheim Ducks,2,Chicago Blackhawks,0,home win REG,6.016522423288749
2017021010,W,Anaheim Ducks,2,Chicago Blackhawks,4,home win REG,6.182533438237608
2017020853,C,St Louis Blues,0,Pittsburgh Penguins,0,away win REG,4.479150275373722
2017020853,D,St Louis Blues,2,Pittsburgh Penguins,2,away win REG,6.016522423288749
2017020853,W,St Louis Blues,2,Pittsburgh Penguins,4,away win REG,6.182533438237608
2017020696,C,New York Islanders,0,Boston Bruins,2,away win REG,4.479150275373722
2017020696,D,New York Islanders,0,Boston Bruins,2,away win REG,6.016522423288749
2017020696,W,New York Islanders,2,Boston Bruins,0,away win REG,6.182533438237608
2017020164,C,Minnesota Wild,4,Pittsburgh Penguins,2,home win REG,4.479150275373722
