player_id,Name,primaryPosition
8467412,Alexei Ponikarovsky,LW
8468501,Anton Volchenkov,D
8459670,Kimmo Timonen,D
8471233,Travis Zajac,C
8455710,Martin Brodeur,G
8475640,Erik Gustafsson,D
8476177,Matt Read,RW
8464977,Dainius Zubrus,C
8474190,Wayne Simmonds,RW
8464975,Daniel Briere,C
8468534,Andreas Lilja,D
8475603,Ben Holmstrom,C
8472410,Stephen Gionta,RW
8474037,James van Riemsdyk,LW
8473542,Tom Sestito,LW
8476457,Adam Larsson,D
8474631,Marc-Andre Bourdon,D
8472382,Andy Greene,D
8474641,Adam Henrique,C
8474161,Jakub Voracek,RW
8475972,Tyler Brown,LW
8476461,Sean Couturier,C
8460720,Eric Boulton,LW
8469454,Ilya Kovalchuk,LW
8475170,Brayden Schenn,C
8468524,Ilya Bryzgalov,G
8470609,Steve Bernier,RW
8465210,Pavel Kubina,D
8471816,Mark Fayne,D
8468486,Scott Hartnell,LW
8470123,Cam Janssen,RW
8470640,Matt Carle,D
8473512,Claude Giroux,C
8475775,Tye McGinn,LW
8470920,David Clarkson,RW
8470601,Braydon Coburn,D
8475342,Oliver Lauridsen,D
8470171,Max Talbot,C
8474892,Eric Wellwood,LW
8476158,Harry Zolnierczyk,LW
8475185,Jacob Josefson,C
8472394,Peter Harrold,D
8462535,Jody Shelley,LW
8448208,Jaromir Jagr,RW
8469623,Marek Zidlicky,D
8468038,Michael Leighton,G
8474736,Zac Rinaldo,C
8473646,Ryan Carter,LW
8471269,Nicklas Grossmann,D
8471467,Matthew Ford,RW
8470610,Zach Parise,LW
8475430,Brandon Manning,D
8460626,Bryce Salvador,D
8460465,Petr Sykora,RW
8460542,Patrik Elias,C
8471636,Tim Sestito,LW
8476209,Mike Sislo,RW
8471712,Jeff Frazee,G
8471236,Andrej Meszaros,D
8473580,Matthew Corrente,D
8471365,Steven Zalewski,C
8473944,Matt Anderson,RW
8475248,Alexander Urbom,D
8473592,Vladimir Zharkov,RW
8467436,Jay Leach,D
8476234,Keith Kinkaid,G
8475060,Matt Taormina,D
8473927,Brad Mills,C
8474614,Brandon Burlon,D
8474219,Dan Kelly,D
8475199,Eric Gelinas,D
8474023,Mike Hoeffel,LW
8474582,Mattias Tedenby,RW
8467452,Rob Scuderi,D
8471718,Marc-Andre Cliche,C
8470662,Colin Fraser,C
8476404,Andy Andreoff,C
8474594,Slava Voynov,D
8475160,Kyle Clifford,LW
8471208,Dustin Penner,RW
8474518,Davis Drewiske,D
8473908,Kevin Westgarth,RW
8465185,Willie Mitchell,D
8471685,Anze Kopitar,C
8473664,Justin Azevedo,C
8475726,Tyler Toffoli,RW
8474638,Andrew Campbell,D
8470755,Brad Richardson,C
8475325,Jordan Nolan,C
8474563,Drew Doughty,D
8474162,Jake Muzzin,D
8475096,Patrick Mullen,D
8474166,Alec Martinez,D
8474681,Andrei Loktionov,C
8468526,Jarret Stoll,C
8470604,Jeff Carter,C
8470606,Dustin Brown,RW
8474889,Martin Jones,G
8470121,Matt Greene,D
8466182,Henrik Tallinder,D
8471733,Rich Clune,LW
8471734,Jonathan Quick,G
8475223,Linden Vey,RW
8467346,Simon Gagne,LW
8470617,Mike Richards,C
8473453,Trevor Lewis,C
8474100,Dwight King,LW
8474066,Thomas Hickey,D
8468508,Justin Williams,RW
8473419,Brad Marchand,LW
8470905,Randy Jones,D
8474749,Matt Bartkowski,D
8471717,Adam McQuaid,D
8471916,Mike Angelidis,LW
8471276,David Krejci,C
8470187,Johnny Boychuk,D
8471514,Rich Peverley,C
8471314,Mike Lundin,D
8475167,Victor Hedman,D
8470230,Daniel Paille,LW
8467925,Adam Hall,RW
8469765,Marc-Andre Bergeron,D
8467329,Vincent Lecavalier,C
8467967,Chris Kelly,C
8470638,Patrice Bergeron,C
8468575,Dominic Moore,C
8450725,Mark Recchi,RW
8470596,Nathan Horton,RW
8471767,Blair Jones,C
8470634,Matt Smaby,D
8474682,Dustin Tokarski,G
8460806,Dwayne Roloson,G
8474564,Steven Stamkos,C
8474002,Colby Cohen,D
8473473,Milan Lucic,LW
8474000,Steven Kampfer,D
8465978,Shawn Thornton,LW
8471418,Anton Khudobin,G
8469619,Dennis Seidenberg,D
8465056,Trent Whitfield,C
8466142,Eric Brewer,D
8470804,Mathieu Roy,D
8470169,Gregory Campbell,C
8474095,Dana Tyrell,C
8465009,Zdeno Chara,D
8467988,Ryan Malone,LW
8470615,Marc-Antoine Pouliot,C
8467545,Michael Ryder,RW
8465200,Tomas Kaberle,D
8466333,Andrew Ference,D
8471703,Steve Downie,RW
8466378,Martin St. Louis,RW
8465122,Brett Clark,D
8474657,Jamie Arniel,C
8473962,Teddy Purcell,LW
8470176,Sean Bergenheim,LW
8471668,Mattias Ritola,C
8470775,Nate Thompson,C
8475794,Tyler Seguin,C
8460703,Tim Thomas,G
8460503,Mattias Ohlund,D
8475150,Jordan Caron,RW
8460661,Shane Hnidy,D
8469608,Mike Smith,G
8471958,Dan Girardi,D
8471873,Anton Stralman,D
8473932,Darroll Powe,C
8475118,Matt Gilroy,D
8470192,Steve Eminger,D
8475243,Ryan Bourque,C
8474230,Micheal Haley,C
8474151,Ryan McDonagh,D
8458938,Roman Hamrlik,D
8462033,Wade Redden,D
8465025,Arron Asham,RW
8467881,Taylor Pyatt,LW
8473544,Derick Brassard,C
8471686,Marc Staal,D
8470232,Kris Newbury,C
8474678,Jason Missiaen,G
8475692,Mats Zuccarello,RW
8476462,Dougie Hamilton,D
8470041,Rick Nash,LW
8469534,Aaron Johnson,D
8471339,Ryan Callahan,RW
8468685,Henrik Lundqvist,G
8459454,Jay Pandolfo,LW
8473432,Derek Dorsett,RW
8471695,Tuukka Rask,G
8476468,J.T. Miller,C
8474772,Stu Bickel,D
8474850,Brandon Mashinter,LW
8475184,Chris Kreider,LW
8475186,John Moore,D
8476792,Torey Krug,D
8473484,Kaspars Daugavins,LW
8474176,Carl Hagelin,LW
8475660,Cam Talbot,G
8471262,Carl Soderberg,C
8469622,Ryane Clowe,LW
8467389,Brad Richards,C
8470619,Brian Boyle,C
8474613,Derek Stepan,C
8475749,Christian Thomas,LW
8474584,Michael Del Zotto,D
8475795,Dylan McIlrath,D
8469755,Brandon Segal,RW
8476844,Niklas Svedberg,G
8465951,Matt Cooke,LW
8469638,Jussi Jokinen,LW
8468542,Paul Martin,D
8462042,Jarome Iginla,RW
8471311,Tyler Kennedy,C
8471675,Sidney Crosby,C
8466160,Brenden Morrow,LW
8470543,Chris Kunitz,LW
8476211,Carter Camper,C
8475761,Beau Bennett,RW
8471724,Kris Letang,D
8468498,Brooks Orpik,D
8466393,Pascal Dupuis,RW
8471246,Chris Bourque,LW
8471856,Joe Vitale,C
8471215,Evgeni Malkin,C
8460712,Tomas Vokoun,G
8474091,Brandon Sutter,C
8471702,Matt Niskanen,D
8468114,Douglas Murray,D
8465166,Craig Adams,RW
8468674,Deryk Engelland,D
8471707,James Neal,LW
8474138,Dustin Jeffrey,LW
8467580,Mark Eaton,D
8470854,Tanner Glass,LW
8475155,Simon Despres,D
8474145,Robert Bortuzzo,D
8470594,Marc-Andre Fleury,G
8473553,Jeff Zatkoff,G
8471716,Justin Abdelkader,LW
8471956,Andrew Desjardins,LW
8467331,Brad Stuart,D
8470861,Sean Sullivan,D
8467096,Dan Boyle,D
8474027,Justin Braun,D
8471794,Darren Helm,C
8470622,Patrick Eaves,RW
8459514,Jamal Mayers,RW
8474667,Harri Sateri,G
8474550,Antti Niemi,G
8474032,Nick Petrecki,D
8475202,Taylor Doherty,D
8470273,Ian White,D
8471682,Devin Setoguchi,RW
8467928,Doug Janik,D
8446485,Kris Draper,C
8470318,Jonathan Ericsson,D
8468577,Niclas Wallin,D
8475607,Cameron MacIntyre,RW
8470794,Joe Pavelski,C
8473465,Jamie McGinn,LW
8470280,Ben Eager,LW
8471693,Jakub Kindl,D
8464962,Ruslan Salei,D
8467514,Pavel Datsyuk,C
8466149,Daniel Cleary,RW
8467478,Kent Huskins,D
8470201,Jiri Hudler,RW
8470047,Valtteri Filppula,C
8468482,Dany Heatley,LW
8468083,Henrik Zetterberg,LW
8471338,Torrey Mitchell,C
8473558,Cory Emmerton,C
8474053,Logan Couture,C
8469581,Kyle Wellwood,C
8473562,John McCarthy,C
8474090,Brendan Smith,D
8466139,Patrick Marleau,C
8471309,Johan Franzen,RW
8466138,Joe Thornton,C
8470778,Drew Miller,LW
8470657,Jimmy Howard,G
8471306,Thomas Greiss,G
8457063,Nicklas Lidstrom,D
8471709,Marc-Edouard Vlasic,D
8474739,Tommy Wingels,C
8459687,Scott Nichol,C
8473600,Benn Ferriero,RW
8475625,Matt Irwin,D
8459444,Todd Bertuzzi,RW
8475346,Marek Viedensky,C
8475622,Carter Hutton,G
8473569,Jan Mursak,LW
8474218,Jason Demers,D
8470061,Derek Meech,D
8460743,Tomas Holmstrom,LW
8468509,Niklas Kronwall,D
8475193,Tomas Tatar,LW
8467856,Brian Rafalski,D
8449645,Mike Modano,C
8467876,Henrik Sedin,C
8471859,Sergei Kostitsyn,LW
8467875,Daniel Sedin,LW
8467330,David Legwand,C
8468485,Raffi Torres,LW
8474569,Colin Wilson,C
8471498,Jannik Hansen,RW
8466141,Roberto Luongo,G
8468064,Martin Erat,RW
8467370,Mike Fisher,C
8468162,Jerred Smithson,C
8470600,Ryan Suter,D
8471811,Cal O'Reilly,C
8470642,Shea Weber,D
8470620,Jeff Tambellini,LW
8474096,Nick Spaling,C
8460719,Steve Sullivan,LW
8470054,Keith Ballard,D
8470274,Chris Higgins,LW
8474570,Cody Hodgson,C
8469465,Dan Hamhuis,D
8464957,J-P Dumont,RW
8474094,Matt Halischuk,RW
8469547,Jordin Tootoo,RW
8473608,Blake Geoffrion,C
8469626,Andrew Alberts,D
8465202,Sami Salo,D
8470616,Ryan Kesler,C
8470839,Shane O'Brien,D
8467463,Mikael Samuelsson,RW
8470310,Aaron Rome,D
8470630,Kevin Klein,D
8471664,Mason Raymond,LW
8471268,Victor Oreskovich,RW
8471887,Patric Hornqvist,RW
8471469,Pekka Rinne,G
8470358,Alexandre Burrows,LW
8471742,Cody Franson,D
8471303,Alexander Edler,D
8470654,Maxim Lapierre,C
8474164,Jonathon Blum,D
8469598,Kevin Bieksa,D
8469555,Christian Ehrhoff,D
8468208,Joel Ward,RW
8471741,Teemu Laakso,D
8474580,Chet Pickard,G
8474535,Chris Mueller,C
8474629,Shawn Lalonde,D
8474625,Jimmy Hayes,RW
8470666,Daniel Carcillo,LW
8476403,Klas Dahlbeck,D
8473537,Viktor Stalberg,LW
8477225,Jared Coreau,G
8475323,Marcus Kruger,C
8471769,Niklas Hjalmarsson,D
8474679,Gustav Nyquist,RW
8471245,Dave Bolland,C
8475204,Brandon Pirri,C
8475650,Brandon Bollig,LW
8470281,Duncan Keith,D
8474168,Joakim Andersson,C
8476381,Andrew Shaw,RW
8468927,Steve Montador,D
8466148,Marian Hossa,RW
8470724,Kyle Quincey,D
8465058,Michal Rozsival,D
8474727,Ben Smith,RW
8470607,Brent Seabrook,D
8471254,Bryan Bickell,LW
8475214,Jeremy Morin,LW
8470645,Corey Crawford,G
8476431,Adam Clendening,D
8475181,Nick Leddy,D
8469544,Patrick Sharp,LW
8469665,Johnny Oduya,D
8473564,Michael Frolik,RW
8473604,Jonathan Toews,C
8476438,Brandon Saad,LW
8477059,Damien Brunner,RW
8474141,Patrick Kane,RW
8475431,Henrik Karlsson,G
8469470,Carlo Colaiacovo,D
8475114,Jordan Pearce,G
8475598,Ryan Stanton,D
8475153,Dylan Olsen,D
8469992,Sheldon Brookbank,D
